APOGEE_ID,RA,DEC,evstate,J,H,K,TEFF,LOGG,ALPHA_M,C_FE,C_N,MG_MN,MN_O,CI_FE,N_FE,O_FE,MG_FE,SI_FE,FE_H,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG
2M19275986+4151300,291.9994,41.8584,1,10.449,9.93,9.798,4859.5522,2.7586634,0.037350997,0.021870807,-0.121509194,0.14049369,-0.14732099,-0.04535401,0.14338,0.10741499,0.100587696,0.051696002,-0.26370156,12.053369,12.618278,11.364373
2M19280046+4213570,292.0019,42.2325,2,9.496,9.036,8.954,5139.583,2.9703965,-0.059185,-0.112275004,-0.37399998,-0.0846833,9999.983,-0.23025501,0.26172498,-9999.99,-0.0919203,-0.028552402,-0.05516055,10.910691,11.348876,10.265153
2M19280102+4050138,292.0043,40.8372,2,9.763,9.282,9.151,4970.493,2.5135682,0.020448,-0.037341997,-0.243672,0.0050937086,0.03525549,-0.08149199,0.20633,-0.008141503,0.032207698,0.013385996,-0.23425154,11.318613,11.870876,10.649222
2M19280136+3717594,292.0057,37.2998,1,10.777,10.288,10.185,5010.734,3.1468284,0.015606999,-0.027290002,-0.20246,0.025152698,-0.038491994,-0.119770005,0.17517,0.037525997,0.0241867,0.023076996,-0.16528155,12.32645,12.870467,11.653114
2M19280288+3741507,292.012,37.6974,1,10.811,10.26,10.094,4638.232,2.8280141,-0.009337001,0.06989899,-0.138641,-0.064768285,0.09560539,0.036410004,0.20854,-0.0057414025,0.025095701,-0.033447996,0.21931845,12.648293,13.3201275,11.879368
2M19280384+4051558,292.016,40.8655,1,10.864,10.341,10.208,4735.108,3.1579537,-0.0309424,0.06290999,-0.18201,-0.10884631,0.170257,0.034594685,0.24491999,-0.045243025,0.01616767,-0.0046015084,0.30787846,12.546451,13.161733,11.821457
2M19280451+3713548,292.0188,37.2319,1,10.54,10.02,9.873,4959.6084,2.9688542,0.025309,0.067977995,-0.18595201,0.06896371,-0.033599004,-0.011230007,0.25393,0.024192989,0.05955769,0.049803987,-0.24915154,12.227045,12.815628,11.514761
2M19280531+3806147,292.0222,38.1041,2,7.944,7.501,7.364,4903.3438,2.512997,0.017958999,-0.017984003,-0.222834,0.06250171,-0.059438005,-0.066218,0.20485,0.010421991,0.0134857,0.014778003,-0.18755154,9.468429,9.995725,8.824876
2M19280778+3750068,292.0324,37.8352,1,11.409,10.931,10.856,4957.395,3.2081852,0.035678,0.037379995,-0.12193,0.06356272,-0.16710103,-0.013691992,0.15931,0.198145,0.0946067,0.014241993,-0.20117155,13.005264,13.543851,12.329937
2M19280808+4944277,292.0337,49.741,1,11.244,10.706,10.578,4702.2173,2.5851321,0.034491003,0.031214982,-0.14890501,0.035001695,-0.035539,-0.017021015,0.18011999,0.03964299,0.039105684,0.034410983,-0.16421154,12.934121,13.533241,12.218758
2M19280882+3736381,292.0368,37.6106,1,9.829,9.235,9.128,4583.7725,2.578638,0.207239,0.20388001,0.205214,0.4660077,-0.347991,0.28295,-0.0013339818,0.21748501,0.33550173,0.15029201,-0.37206155,11.578372,12.215237,10.837311
2M19281017+3706444,292.0424,37.1123,2,8.888,8.444,8.334,5042.1797,2.8112283,-0.019142002,-0.095093995,-0.41769,-0.037051298,9999.984,-0.163764,0.322596,-9999.99,-0.0429693,-0.0038789958,0.07968945,10.324708,10.8356085,9.695056
2M19281062+4045393,292.0443,40.7609,2,9.332,8.768,8.653,4817.623,2.4617739,0.024909,-0.017064005,-0.18390201,0.035989698,0.008088,-0.084452,0.166838,0.005547002,0.0496247,0.031816002,-0.07345255,10.958626,11.557457,10.253181
2M19281172+4622111,292.0488,46.3698,1,11.284,10.696,10.519,4453.1523,2.4955807,0.06115,0.11824,-0.13023001,0.1003077,-0.05386001,0.118420005,0.24847001,0.087374,0.1338217,0.038556993,0.22405845,13.130154,13.8167,12.34517
2M19281499+4205159,292.0625,42.0878,2,10.335,9.858,9.746,5051.454,2.5230384,0.076639,-0.062784016,-0.43890402,0.14271769,9999.956,-0.11252999,0.37612,-9999.99,0.1080817,0.076991975,-0.34660155,11.819149,12.330774,11.173082
2M19281556+3840132,292.0648,38.6703,1,10.139,9.571,9.434,4660.699,2.9038842,-0.006716,0.048336,-0.32219404,-0.1383793,0.19198999,0.005686015,0.37053004,-0.013085991,0.04052469,-0.001098007,0.30286846,11.946419,12.622573,11.179175
2M19281647+4047513,292.0687,40.7976,1,10.725,10.16,10.041,4739.6787,2.6076515,0.012589999,0.043078005,-0.090672,0.0026083142,-0.032298014,-0.037481993,0.13375,0.033002004,0.0033123046,0.020447,-0.17304155,12.397624,12.996828,11.681636
2M19281692+4123262,292.0705,41.3906,1,9.863,9.288,9.173,4679.6562,2.6778953,0.036671996,0.041913003,-0.10751,0.080175705,-0.080892004,-0.0010299981,0.149423,0.065101,0.0643847,0.013472002,0.048121452,11.523075,12.129189,10.811767
